n_prediction,n_control,seed,hour,tau_Pa,phi_sen,rho_bar,varphi_bar_deg
3,3,51,3,2,0.2044064596,2.019469033,33.85930644
3,3,51,4,2,0.2060036704,2.045084105,30.99557951
3,3,51,5,2,0.2075936003,2.067360366,28.50738688
3,3,51,6,1.992942413,0.2091393765,2.086701907,26.3488534
3,3,52,0,,0.2011173184,1.920111732,45
3,3,52,1,1.63724395,0.2013657498,1.956363182,40.92450674
3,3,52,2,1.965129548,0.2027851972,1.99002586,37.15342422
3,3,52,3,2,0.204378787,2.019471701,33.858695
3,3,52,4,2,0.2059650789,2.045088032,30.99470359
3,3,52,5,2,0.2075442765,2.067366072,28.50619006
3,3,52,6,1.993507245,0.2090825464,2.086711737,26.34710825
3,3,53,0,,0.2011173184,1.920111732,45
3,3,53,1,1.637385672,0.2013575553,1.956363911,40.92433252
3,3,53,2,1.965482618,0.2027667713,1.990028175,37.15295651
3,3,53,3,2,0.2043479868,2.019474674,33.85801404
3,3,53,4,2,0.2059221029,2.045092407,30.9937279
3,3,53,5,2,0.2074893183,2.06737243,28.5048564
3,3,53,6,1.994141327,0.209019196,2.08672271,26.34516113
3,3,54,0,,0.2011173184,1.920111732,45
3,3,54,1,1.637215499,0.2013673894,1.956363035,40.9245417
3,3,54,2,1.965058536,0.2027888855,1.990025394,37.15351809
3,3,54,3,2,0.2043849609,2.019471104,33.85883164
3,3,54,4,2,0.2059737037,2.045087153,30.99489947
3,3,54,5,2,0.2075553181,2.067364794,28.50645802
3,3,54,6,1.993379018,0.2090952818,2.086709528,26.34750007
3,3,55,0,,0.2011173184,1.920111732,45
3,3,55,1,1.63754098,0.2013485449,1.956364708,40.92414147
3,3,55,2,1.965869176,0.202746518,1.990030708,37.1524437
3,3,55,3,2,0.2043141838,2.019477931,33.85726737
3,3,55,4,2,0.2058749962,2.0450972,30.99265872
3,3,55,5,2,0.2074291487,2.067379392,28.50339629
3,3,55,6,1.994831193,0.2089498796,2.086734697,26.34303268
3,3,56,0,,0.2011173184,1.920111732,45
3,3,56,1,1.638051291,0.2013190412,1.95636733,40.92351455
3,3,56,2,1.967140543,0.2026801432,1.990039028,37.15076101
3,3,56,3,2,0.2042034188,2.01948862,33.8548187
3,3,56,4,2,0.2057206253,2.045112923,30.98915324
3,3,56,5,2,0.2072319385,2.067402223,28.49860919
3,3,56,6,1.997122706,0.2087226627,2.086774102,26.33604349
3,3,57,0,,0.2011173184,1.920111732,45
3,3,57,1,1.637597265,0.2013452692,1.956364996,40.92407219
3,3,57,2,1.966009806,0.2027391596,1.990031627,37.15225745
3,3,57,3,2,0.2043019141,2.019479113,33.85699631
3,3,57,4,2,0.205857912,2.045098939,30.99227086
3,3,57,5,2,0.2074073444,2.067381917,28.50286701
3,3,57,6,1.995080227,0.2089247716,2.086739037,26.34226202
3,3,58,0,,0.2011173184,1.920111732,45
3,3,58,1,1.637229397,0.2013665723,1.956363106,40.92452454
3,3,58,2,1.965092675,0.2027870537,1.990025619,37.15347221
